Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
#ArticleFilter,6,13749,13807,14444,15134,15134,12361,15134,0.00%,0.01347,18.45,0.3
#BioDetails,6,15082,14821,15757,16156,16156,13783,16156,0.00%,0.01334,17.57,0.32
#Blog,6,8950,8443,9520,10099,10099,8268,10099,0.00%,0.01374,10.91,0.18
#ContactUs,6,4405,4374,4961,5005,5005,3484,5005,0.00%,0.01381,5.79,0.09
#HomePage,6,5777,5541,6263,6819,6819,4941,6819,0.00%,0.01363,7.85,0.12
#Leadership,6,16585,15663,16002,22037,22037,14438,22037,0.00%,0.01336,17.16,0.32
#MediaCenter,6,7713,7077,8383,9780,9780,6665,9780,0.00%,0.01362,10.17,0.17
#OurImpact,6,13022,13345,13582,14470,14470,11125,14470,0.00%,0.01339,25.47,0.32
#Privacy,4,4123,3679,4925,4925,4925,3665,4925,0.00%,0.01811,6.83,0.11
#Products&Services,6,4365,4017,4730,5513,5513,3904,5513,0.00%,0.01392,7.51,0.17
#Search,6,10207,10360,10590,10758,10758,9053,10758,0.00%,0.01371,14.39,0.22
#TermsOfUse,4,4537,4370,4904,4904,4904,4068,4904,0.00%,0.01802,6.86,0.11
#WhoWeAre,6,32643,32106,33646,34263,34263,31022,34263,0.00%,0.01283,55.45,0.7
Web_Blog,6,4529,4451,5143,5254,5254,3606,5254,0.00%,0.0139,6.08,0.1
Web_Blog_NameOfArticle,6,4421,4165,4901,4956,4956,3677,4956,0.00%,0.01387,4.94,0.09
Web_BlogLanding,6,3093,2868,3430,3514,3514,2710,3514,0.00%,0.01382,6.05,0.1
Web_Communities,6,4152,3965,4077,5446,5446,3514,5446,0.00%,0.01374,9.01,0.1
Web_ContactUs,6,4405,4374,4961,5005,5005,3484,5005,0.00%,0.01381,5.79,0.09
Web_DownloadProfile,6,455,529,537,724,724,191,724,0.00%,0.01382,0.44,0.01
Web_ExecutiveName,6,5419,5079,5424,8135,8135,3521,8135,0.00%,0.01357,4.85,0.09
Web_HomePage,30,4580,4416,5477,5748,6197,3518,6197,0.00%,0.0546,31.41,0.46
Web_HomePage_json,30,1710,1613,1674,1702,6348,1369,6348,0.00%,0.05494,0.02,0.03
Web_Innovation,6,4838,4567,5093,5739,5739,4292,5739,0.00%,0.01366,8.38,0.11
Web_MediaCenter,6,3694,3353,3781,5440,5440,2671,5440,0.00%,0.01374,5.36,0.09
Web_MediaCenter_NameOfArticle,6,4019,3755,4340,4602,4602,3702,4602,0.00%,0.01373,4.9,0.09
Web_MissionAndVision,6,4999,4682,5796,5816,5816,4249,5816,0.00%,0.0136,9.53,0.11
Web_Our_LeadershipLanding,12,3174,2834,3914,3914,4567,2446,4567,0.00%,0.02379,8.34,0.16
Web_Our_LeadershipLanding.json,12,1459,1380,1716,1716,1950,1358,1950,0.00%,0.02386,0.01,0.01
Web_Our-Diversity,6,5071,4733,5393,7097,7097,4008,7097,0.00%,0.0137,7.95,0.12
Web_Our-History,6,5001,4366,5895,6565,6565,3879,6565,0.00%,0.01374,7.24,0.1
Web_Our-Impact,6,3513,3679,3722,3941,3941,2586,3941,0.00%,0.01369,8.09,0.11
Web_Our-Leadership,6,4353,4054,4908,5497,5497,3558,5497,0.00%,0.01371,4.81,0.09
Web_OurMerger,6,3645,3569,4069,4108,4108,2980,4108,0.00%,0.01367,15.7,0.13
Web_Privacy,4,4123,3679,4925,4925,4925,3665,4925,0.00%,0.01811,6.83,0.11
Web_Products&Services,6,4365,4017,4730,5513,5513,3904,5513,0.00%,0.01392,7.51,0.17
Web_SearchFeed,6,71,6,159,161,161,4,161,0.00%,0.01403,0.01,0.01
Web_SearchFilter,6,609,643,734,746,746,294,746,0.00%,0.01403,0.03,0.01
Web_SearchResult,6,3212,3096,3455,3550,3550,2722,3550,0.00%,0.01395,6.57,0.09
Web_SelectArticle,6,4055,3995,4396,4494,4494,3656,4494,0.00%,0.01377,4.91,0.09
Web_SelectingLeader,12,3184,2984,4530,4530,4661,2549,4661,0.00%,0.02381,8.51,0.16
Web_SelectingLeader.json,12,1408,1379,1431,1431,1700,1350,1700,0.00%,0.02387,0.01,0.01
Web_Sustainability,6,4671,4462,5083,5292,5292,4018,5292,0.00%,0.01364,9.5,0.1
Web_TermsOfUse,6,4306,4191,4806,4904,4904,3499,4904,0.00%,0.01382,5.26,0.09
